Step,Susceptible,Exposed,Infected,Recovered
0,99,0,1,0
1,99,0,1,0
2,99,0,1,0
3,99,0,1,0
4,99,0,1,0
5,99,0,1,0
6,99,0,1,0
7,99,0,1,0
8,99,0,1,0
9,99,0,1,0
10,99,0,1,0
11,99,0,1,0
12,99,0,1,0
13,99,0,1,0
14,99,0,1,0
15,99,0,1,0
16,99,0,1,0
17,99,0,1,0
18,99,0,1,0
19,99,0,1,0
20,99,0,1,0
21,99,0,1,0
22,99,0,1,0
23,99,0,1,0
24,99,0,1,0
25,99,0,1,0
26,99,0,1,0
27,99,0,1,0
28,99,0,1,0
29,99,0,1,0
30,99,0,1,0
31,99,0,1,0
32,99,0,1,0
33,99,0,1,0
34,99,0,1,0
35,99,0,1,0
36,99,0,1,0
37,99,0,1,0
38,99,0,1,0
39,99,0,1,0
40,99,0,1,0
41,99,0,1,0
42,99,0,1,0
43,99,0,1,0
44,99,0,1,0
45,99,0,1,0
46,99,0,1,0
47,99,0,1,0
48,99,0,1,0
49,99,0,1,0
50,99,0,1,0
51,99,0,1,0
52,99,0,1,0
53,99,0,1,0
54,99,0,1,0
55,99,0,1,0
56,98,1,1,0
57,97,1,2,0
58,97,0,3,0
59,97,0,3,0
60,97,0,3,0
61,97,0,3,0
62,97,0,3,0
63,96,1,3,0
64,96,0,4,0
65,96,0,4,0
66,96,0,4,0
67,96,0,4,0
68,96,0,4,0
69,96,0,4,0
70,96,0,4,0
71,95,1,4,0
72,95,0,5,0
73,95,0,5,0
74,95,0,5,0
75,95,0,5,0
76,95,0,5,0
77,95,0,5,0
78,95,0,5,0
79,95,0,5,0
80,95,0,5,0
81,95,0,5,0
82,95,0,5,0
83,95,0,5,0
84,95,0,5,0
85,95,0,5,0
86,95,0,5,0
87,95,0,5,0
88,95,0,5,0
89,95,0,5,0
90,95,0,5,0
91,95,0,5,0
92,95,0,5,0
93,95,0,5,0
94,95,0,5,0
95,94,1,5,0
96,93,1,6,0
97,93,0,7,0
98,92,1,7,0
99,92,0,8,0
100,92,0,8,0
101,92,0,8,0
102,92,0,8,0
103,92,0,8,0
104,92,0,8,0
105,92,0,8,0
106,91,1,8,0
107,91,0,9,0
108,91,0,9,0
109,91,0,9,0
110,89,2,9,0
111,89,0,11,0
112,89,0,11,0
113,89,0,11,0
114,89,0,11,0
115,89,0,11,0
116,89,0,11,0
117,89,0,11,0
118,89,0,11,0
119,89,0,11,0
120,89,0,11,0
121,89,0,11,0
122,89,0,11,0
123,89,0,11,0
124,88,1,11,0
125,88,0,12,0
126,88,0,12,0
127,88,0,12,0
128,88,0,12,0
129,87,1,12,0
130,87,0,13,0
131,87,0,13,0
132,87,0,13,0
133,87,0,13,0
134,87,0,13,0
135,87,0,13,0
136,87,0,13,0
137,87,0,13,0
138,87,0,13,0
139,87,0,13,0
140,87,0,13,0
141,86,1,13,0
142,86,0,14,0
143,86,0,14,0
144,86,0,14,0
145,86,0,14,0
146,86,0,14,0
147,86,0,14,0
148,85,1,14,0
149,85,0,15,0
150,85,0,14,1
151,84,1,14,1
152,84,0,15,1
153,84,0,15,1
154,83,1,15,1
155,83,0,16,1
156,83,0,16,1
157,83,0,16,1
158,83,0,16,1
159,83,0,16,1
160,82,1,16,1
161,82,0,17,1
162,81,1,17,1
163,80,1,18,1
164,80,0,19,1
165,80,0,19,1
166,80,0,19,1
167,79,1,19,1
168,79,0,20,1
169,79,0,20,1
170,79,0,20,1
171,79,0,20,1
172,79,0,20,1
173,79,0,20,1
174,78,1,20,1
175,78,0,21,1
176,78,0,21,1
177,77,1,21,1
178,76,1,22,1
179,76,0,23,1
180,75,1,23,1
181,75,0,24,1
182,72,3,24,1
183,71,1,27,1
184,71,0,28,1
185,71,0,28,1
186,71,0,28,1
187,70,1,28,1
188,68,2,29,1
189,68,0,31,1
190,67,1,31,1
191,67,0,32,1
192,67,0,32,1
193,66,1,32,1
194,65,1,33,1
195,65,0,34,1
196,65,0,34,1
197,65,0,34,1
198,65,0,34,1
199,64,1,34,1
200,64,0,35,1
201,64,0,35,1
202,62,2,35,1
203,62,0,37,1
204,61,1,37,1
205,61,0,38,1
206,59,2,38,1
207,59,0,40,1
208,59,0,39,2
209,58,1,38,3
210,58,0,39,3
211,56,2,39,3
212,55,1,41,3
213,55,0,42,3
214,55,0,42,3
215,54,1,41,4
216,53,1,42,4
217,53,0,43,4
218,53,0,43,4
219,52,1,43,4
220,52,0,44,4
221,52,0,44,4
222,52,0,44,4
223,51,1,43,5
224,50,1,44,5
225,50,0,45,5
226,49,1,45,5
227,49,0,46,5
228,48,1,46,5
