Step,Susceptible,Exposed,Infected,Recovered
0,98,1,1,0
1,98,1,1,0
2,98,1,1,0
3,98,1,1,0
4,98,1,1,0
5,98,1,1,0
6,98,1,1,0
7,98,1,1,0
8,98,1,1,0
9,98,1,1,0
10,98,1,1,0
11,98,1,1,0
12,98,1,1,0
13,98,1,1,0
14,98,1,1,0
15,98,1,1,0
16,98,1,1,0
17,98,1,1,0
18,98,1,1,0
19,98,1,1,0
20,98,1,1,0
21,98,1,1,0
22,98,1,1,0
23,98,1,1,0
24,98,1,1,0
25,98,1,1,0
26,98,1,1,0
27,98,1,1,0
28,98,1,1,0
29,98,1,1,0
30,98,1,1,0
31,98,1,1,0
32,98,1,1,0
33,98,1,1,0
34,98,1,1,0
35,98,1,1,0
36,98,1,1,0
37,98,1,1,0
38,98,1,1,0
39,98,1,1,0
40,98,1,1,0
41,98,1,1,0
42,98,1,1,0
43,98,1,1,0
44,98,1,1,0
45,98,1,1,0
46,98,1,1,0
47,98,1,1,0
48,98,1,1,0
49,98,1,1,0
50,98,0,2,0
51,98,0,2,0
52,98,0,2,0
53,97,0,3,0
54,97,0,3,0
55,97,0,3,0
56,97,0,3,0
57,97,0,3,0
58,97,0,3,0
59,96,1,3,0
60,94,1,5,0
61,94,0,6,0
62,94,0,6,0
63,94,0,6,0
64,94,0,6,0
65,94,0,6,0
66,94,0,6,0
67,94,0,6,0
68,94,0,6,0
69,94,0,6,0
70,94,0,6,0
71,94,0,6,0
72,94,0,6,0
73,94,0,6,0
74,94,0,6,0
75,94,0,6,0
76,94,0,6,0
77,94,0,6,0
78,94,0,6,0
79,94,0,6,0
80,94,0,6,0
81,94,0,6,0
82,94,0,6,0
83,94,0,6,0
84,94,0,6,0
85,94,0,6,0
86,94,0,6,0
87,94,0,6,0
88,94,0,6,0
89,94,0,6,0
90,94,0,6,0
91,94,0,6,0
92,94,0,6,0
93,94,0,6,0
94,94,0,6,0
95,94,0,6,0
96,94,0,6,0
97,94,0,6,0
98,94,0,6,0
99,94,0,6,0
100,94,0,6,0
101,94,0,6,0
102,94,0,6,0
103,94,0,6,0
104,94,0,6,0
105,94,0,6,0
106,93,0,7,0
107,93,0,7,0
108,93,0,7,0
109,93,0,7,0
110,93,0,7,0
111,93,0,7,0
112,93,0,7,0
113,93,0,7,0
114,93,0,7,0
115,93,0,7,0
116,93,0,7,0
117,92,1,7,0
118,92,0,8,0
119,92,0,8,0
120,91,1,8,0
121,90,0,10,0
122,90,0,10,0
123,90,0,10,0
124,90,0,10,0
125,90,0,10,0
126,90,0,10,0
127,90,0,10,0
128,89,1,10,0
129,89,0,11,0
130,89,0,11,0
131,89,0,11,0
132,89,0,11,0
133,88,0,12,0
134,87,1,12,0
135,87,0,13,0
136,87,0,13,0
137,87,0,13,0
138,87,0,13,0
139,87,0,13,0
140,87,0,13,0
141,87,0,13,0
142,87,0,13,0
143,85,2,13,0
144,85,0,15,0
145,84,0,16,0
146,84,0,16,0
147,84,0,16,0
148,84,0,16,0
149,83,0,17,0
150,83,0,16,1
