Step,Susceptible,Exposed,Infected,Recovered
0,481,9,10,0
1,477,13,10,0
2,472,18,10,0
3,468,22,10,0
4,462,28,10,0
5,461,29,10,0
6,458,23,19,0
7,447,30,23,0
8,437,35,28,0
9,430,38,32,0
10,419,43,38,0
11,416,45,39,0
12,406,52,42,0
13,400,47,53,0
14,395,42,63,0
15,386,44,70,0
16,378,41,81,0
17,369,47,84,0
18,360,46,94,0
19,348,52,100,0
20,342,53,95,10
21,333,53,104,10
22,323,55,112,10
23,315,54,121,10
24,303,57,130,10
25,293,55,142,10
26,283,59,148,10
27,272,61,148,19
28,260,63,154,23
29,249,66,157,28
30,240,63,165,32
31,233,60,169,38
32,221,62,178,39
33,218,54,186,42
34,210,50,187,53
35,206,43,188,63
36,198,42,190,70
37,192,41,186,81
38,185,36,195,84
39,174,44,188,94
40,169,41,190,100
41,163,43,189,105
42,156,42,188,114
43,147,45,186,122
44,144,41,184,131
45,142,32,186,140
46,138,31,179,152
47,131,32,179,158
48,126,30,177,167
49,121,26,176,177
50,115,29,171,185
51,110,32,161,197
52,110,28,155,207
53,103,28,152,217
54,95,31,146,228
55,93,28,139,240
56,83,32,134,251
57,75,35,130,260
58,70,40,123,267
59,65,38,118,279
60,65,30,123,282
61,61,32,117,290
62,60,23,123,294
63,55,20,123,302
64,51,19,122,308
65,47,18,120,315
66,43,22,109,326
67,40,21,108,331
68,39,21,103,337
69,39,16,101,344
70,36,15,96,353
71,31,16,97,356
72,30,13,99,358
73,28,12,98,362
74,23,16,92,369
75,21,18,87,374
76,20,16,85,379
77,20,11,84,385
78,19,11,80,390
79,18,10,82,390
80,18,5,80,397
81,18,3,74,405
82,13,7,73,407
83,11,9,63,417
84,11,8,56,425
85,9,9,52,430
86,9,9,47,435
87,9,9,47,435
88,9,4,48,439
89,9,2,49,440
90,9,2,44,445
91,8,1,42,449
92,8,1,38,453
93,8,1,34,457
94,8,1,31,460
95,8,1,30,461
96,7,2,30,461
97,7,1,28,464
98,7,1,23,469
99,7,1,22,470
100,7,1,20,472
101,7,1,15,477
102,7,0,14,479
103,6,1,13,480
104,6,1,13,480
105,6,1,12,481
106,6,1,11,482
107,6,1,11,482
108,6,1,11,482
109,6,0,7,487
110,6,0,5,489
111,6,0,5,489
112,6,0,3,491
113,6,0,3,491
114,6,0,3,491
115,5,1,3,491
116,5,1,3,491
117,5,1,3,491
118,5,1,2,492
119,5,1,2,492
120,5,1,2,492
121,5,0,3,492
122,5,0,3,492
123,5,0,2,493
124,5,0,2,493
