Step,Susceptible,Exposed,Infected,Recovered
0,480,10,10,0
1,475,15,10,0
2,471,19,10,0
3,467,23,10,0
4,463,27,10,0
5,463,27,10,0
6,461,19,20,0
7,449,26,25,0
8,438,33,29,0
9,432,35,33,0
10,422,41,37,0
11,412,51,37,0
12,409,52,39,0
13,404,45,51,0
14,397,41,62,0
15,389,43,68,0
16,381,41,78,0
17,373,39,88,0
18,360,49,91,0
19,354,50,96,0
20,346,51,93,10
21,333,56,101,10
22,327,54,109,10
23,318,55,117,10
24,314,46,130,10
25,306,48,136,10
26,300,46,144,10
27,292,41,147,20
28,283,44,148,25
29,277,41,153,29
30,270,44,153,33
31,261,45,157,37
32,252,48,163,37
33,241,51,169,39
34,232,51,166,51
35,222,55,161,62
36,215,55,162,68
37,208,53,161,78
38,204,48,160,88
39,197,44,168,91
40,194,38,172,96
41,189,33,175,103
42,183,32,174,111
43,177,31,173,119
44,170,34,169,127
45,165,32,163,140
46,161,33,160,146
47,158,31,157,154
48,155,28,150,167
49,151,26,150,173
50,148,22,148,182
51,142,23,149,186
52,136,25,145,194
53,134,24,142,200
54,130,25,137,208
55,128,23,132,217
56,122,26,129,223
57,119,23,128,230
58,115,21,125,239
59,109,25,118,248
60,102,28,111,259
61,98,30,104,268
62,93,29,100,278
63,90,29,96,285
64,86,29,93,292
65,85,24,95,296
66,82,20,95,303
67,80,18,96,306
68,78,15,96,311
69,76,14,93,317
70,71,15,91,323
71,65,20,85,330
72,64,18,83,335
73,62,18,81,339
74,57,21,80,342
75,55,21,79,345
76,51,20,80,349
77,50,15,83,352
78,48,16,78,358
79,46,16,74,364
80,44,13,77,366
81,41,14,75,370
82,40,11,77,372
83,40,10,72,378
84,40,8,71,381
85,38,8,69,385
86,38,6,65,391
87,37,4,61,398
88,36,4,58,402
89,33,7,53,407
90,32,8,50,410
91,31,7,48,414
92,30,8,47,415
93,30,7,45,418
94,29,7,44,420
95,28,5,45,422
96,27,5,44,424
97,25,6,40,429
98,25,5,35,435
99,25,5,34,436
100,25,4,33,438
101,25,3,29,443
102,24,3,28,445
103,22,3,26,449
104,22,3,25,450
105,22,3,23,452
106,21,4,21,454
107,19,6,19,456
108,18,6,17,459
109,17,5,18,460
110,15,7,18,460
111,14,8,18,460
112,14,7,17,462
113,13,6,19,462
114,12,6,19,463
115,11,6,19,464
116,9,6,18,467
117,7,7,18,468
118,6,8,17,469
119,6,7,17,470
120,4,8,18,470
121,3,8,18,471
122,3,6,19,472
123,3,4,20,473
124,3,3,19,475
